Index,Station,Lat,Long,Depth,Time,Date,latitude,longitude
1, HELSINKI, 60°09.55', 24°55.37',0,10.0, 09.10.2023,60.159166666666664,24.922833333333333
2, 39A, 60°04.01', 24°58.81',41,10.48, 09.10.2023,60.066833333333335,24.980166666666666
3, UTO_SSE, 59°36.06', 21°19.92',-10,23.46, 09.10.2023,59.601,21.332
4, KOKAR, 59°54.00', 20°50.80',-10,4.11, 10.10.2023,59.9,20.846666666666668
5, SMVM2S, 59°47.50', 20°55.56',-10,5.23, 10.10.2023,59.791666666666664,20.926
6, TEILI2, 59°41.00', 21°06.80',-10,6.46, 10.10.2023,59.68333333333333,21.113333333333333
7, VV17_22, 59°28.66', 20°36.65',-9,9.14, 10.10.2023,59.477666666666664,20.610833333333332
8, VV17_21, 59°32.24', 20°37.74',-9,10.05, 10.10.2023,59.537333333333336,20.629
9, VV23_01, 59°34.74', 20°36.58',-9,10.51, 10.10.2023,59.579,20.609666666666666
10, ROOPE2, 59°36.64', 20°38.94',-9,12.25, 10.10.2023,59.61066666666667,20.649
11, VV17_23, 59°40.00', 20°40.45',-9,12.59, 10.10.2023,59.666666666666664,20.674166666666668
12, VV23_ADCP, 59°40.25', 20°39.24',-9,15.01, 10.10.2023,59.670833333333334,20.654
13, VV17_24, 59°40.55', 20°39.00',-9,15.41, 10.10.2023,59.67583333333333,20.65
14, ESM2, 59°41.00', 20°35.79',-9,16.41, 10.10.2023,59.68333333333333,20.5965
15, VV17_20, 59°43.53', 20°27.12',-9,17.3, 10.10.2023,59.7255,20.452
16, F70B, 59°45.00', 20°21.80',-9,18.15, 10.10.2023,59.75,20.363333333333333
17, VV17_01, 59°47.47', 20°20.23',-9,19.0, 10.10.2023,59.79116666666667,20.33716666666667
18, VV17_17, 59°48.62', 20°16.00',-9,19.39, 10.10.2023,59.81033333333333,20.266666666666666
19, VV17_18, 59°47.00', 20°15.99',-9,19.42, 10.10.2023,59.78333333333333,20.2665
20, VV17_19, 59°44.80', 20°15.71',-9,20.33, 11.10.2023,59.74666666666667,20.261833333333332
21, VV17_16, 59°44.80', 20°09.00',-9,20.33, 11.10.2023,59.74666666666667,20.15
22, VV17_15, 59°47.00', 20°09.00',-9,21.22, 11.10.2023,59.78333333333333,20.15
23, VV17_14, 59°49.40', 20°09.00',-9,21.22, 11.10.2023,59.82333333333333,20.15
24, VV17_13, 59°48.80', 20°03.50',-9,12.54, 11.10.2023,59.81333333333333,20.058333333333334
25, VV17_12, 59°47.00', 20°03.50',-9,13.57, 11.10.2023,59.78333333333333,20.058333333333334
26, VV17_11, 59°44.80', 20°03.51',-9,14.47, 11.10.2023,59.74666666666667,20.0585
27, VV17_10, 59°43.00', 20°03.54',-9,15.55, 11.10.2023,59.71666666666667,20.059
28, VV17_03, 59°42.83', 19°57.75',-9,16.56, 11.10.2023,59.71383333333333,19.9625
29, VV17_09, 59°45.20', 19°58.60',-9,18.03, 11.10.2023,59.75333333333333,19.976666666666667
30, VV17_02, 59°49.20', 19°58.59',73,18.53, 11.10.2023,59.82,19.9765
31, F69, 59°47.00', 19°55.80',69,19.42, 11.10.2023,59.78333333333333,19.93
32, VV17_08, 59°48.60', 19°52.00',-9,2.2, 11.10.2023,59.81,19.866666666666667
33, VV17_07, 59°47.00', 19°52.00',-9,3.04, 11.10.2023,59.78333333333333,19.866666666666667
34, VV17_06, 59°44.80', 19°52.00',-9,3.58, 11.10.2023,59.74666666666667,19.866666666666667
35, VV17_05, 59°42.68', 19°52.00',-9,4.44, 11.10.2023,59.711333333333336,19.866666666666667
36, VV17_04, 59°44.80', 19°45.00',-9,5.59, 11.10.2023,59.74666666666667,19.75
60,F33,60°31.99',18°56.26',135,6.06,12.10.2023,60.533166666666666,18.937666666666665
69,F64,60°11.34',19°08.55',285,18.0,12.10.2023,60.189,19.1425
70,FA16,60°12.00',19°14.80',135,20.19,12.10.2023,60.2,19.246666666666666
71,F64C,60°09.50',19°25.80',265,21.25,12.10.2023,60.15833333333333,19.43
